date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:26	1279/1279	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20May%202023%2013:13:35%20GMT	https://enftx-html.vercel.app/js/plugins/chartjs-donut.js	E:/darklight/admin/enftx-html.vercel.app/js/plugins/chartjs-donut.js	(from https://enftx-html.vercel.app/)
20:13:27	1351/1351	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20May%202023%2013:13:35%20GMT	https://enftx-html.vercel.app/js/scripts.js	E:/darklight/admin/enftx-html.vercel.app/js/scripts.js	(from https://enftx-html.vercel.app/)
20:13:27	57926/57926	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20May%202023%2013:13:36%20GMT	https://enftx-html.vercel.app/icons/bootstrap-icons/bootstrap-icons.css	E:/darklight/admin/enftx-html.vercel.app/icons/bootstrap-icons/bootstrap-icons.css	(from https://enftx-html.vercel.app/css/style.css)
20:13:27	119735/119735	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20May%202023%2013:13:36%20GMT	https://enftx-html.vercel.app/icons/remix-icon/remixicon.css	E:/darklight/admin/enftx-html.vercel.app/icons/remix-icon/remixicon.css	(from https://enftx-html.vercel.app/css/style.css)
20:13:28	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:36%20GMT	https://enftx-html.vercel.app/images/bg/6.jpg	E:/darklight/admin/enftx-html.vercel.app/images/bg/6.jpg	(from https://enftx-html.vercel.app/css/style.css)
20:13:28	603038/603038	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2013:13:37%20GMT	https://enftx-html.vercel.app/images/bg/promo.png	E:/darklight/admin/enftx-html.vercel.app/images/bg/promo.png	(from https://enftx-html.vercel.app/css/style.css)
20:13:28	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:37%20GMT	https://enftx-html.vercel.app/images/items/item_1.png	E:/darklight/admin/enftx-html.vercel.app/images/items/item_1.png	(from https://enftx-html.vercel.app/wallet.html)
20:13:29	2725/2725	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2013:13:37%20GMT	https://enftx-html.vercel.app/images/cc/visa.png	E:/darklight/admin/enftx-html.vercel.app/images/cc/visa.png	(from https://enftx-html.vercel.app/wallet.html)
20:13:29	16519/16519	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2013:13:38%20GMT	https://enftx-html.vercel.app/images/cc/payoneer.png	E:/darklight/admin/enftx-html.vercel.app/images/cc/payoneer.png	(from https://enftx-html.vercel.app/wallet.html)
20:13:29	14109/14109	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2013:13:38%20GMT	https://enftx-html.vercel.app/settings-application.html	E:/darklight/admin/enftx-html.vercel.app/settings-application.html	(from https://enftx-html.vercel.app/settings-profile.html)
20:13:30	15105/15105	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2013:13:39%20GMT	https://enftx-html.vercel.app/settings-security.html	E:/darklight/admin/enftx-html.vercel.app/settings-security.html	(from https://enftx-html.vercel.app/settings-profile.html)
20:13:31	13455/13455	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2013:13:40%20GMT	https://enftx-html.vercel.app/settings-payment-method.html	E:/darklight/admin/enftx-html.vercel.app/settings-payment-method.html	(from https://enftx-html.vercel.app/settings-profile.html)
20:13:32	16242/16242	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2013:13:41%20GMT	https://enftx-html.vercel.app/settings-api.html	E:/darklight/admin/enftx-html.vercel.app/settings-api.html	(from https://enftx-html.vercel.app/settings-profile.html)
20:13:32	2205/2205	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2013:13:41%20GMT	https://enftx-html.vercel.app/images/logo.png	E:/darklight/admin/enftx-html.vercel.app/images/logo.png	(from https://enftx-html.vercel.app/lock.html)
20:13:32	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:41%20GMT	https://enftx-html.vercel.app/reset	E:/darklight/admin/enftx-html.vercel.app/reset	(from https://enftx-html.vercel.app/signin.html)
20:13:33	3561/3561	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2013:13:42%20GMT	https://enftx-html.vercel.app/signup.html	E:/darklight/admin/enftx-html.vercel.app/signup.html	(from https://enftx-html.vercel.app/signin.html)
20:13:33	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:42%20GMT	https://enftx-html.vercel.app/create-invoice	E:/darklight/admin/enftx-html.vercel.app/create-invoice	(from https://enftx-html.vercel.app/bids.html)
20:13:33	134991/134991	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:42%20GMT	https://enftx-html.vercel.app/images/items/9.jpg	E:/darklight/admin/enftx-html.vercel.app/images/items/9.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:34	214808/214808	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:42%20GMT	https://enftx-html.vercel.app/images/items/10.jpg	E:/darklight/admin/enftx-html.vercel.app/images/items/10.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:34	3932/3932	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:43%20GMT	https://enftx-html.vercel.app/images/avatar/10.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/10.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:34	5589/5589	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:43%20GMT	https://enftx-html.vercel.app/images/avatar/11.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/11.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:34	143614/143614	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:43%20GMT	https://enftx-html.vercel.app/images/items/12.jpg	E:/darklight/admin/enftx-html.vercel.app/images/items/12.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:34	5772/5772	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:43%20GMT	https://enftx-html.vercel.app/images/avatar/12.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/12.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:35	150513/150513	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:44%20GMT	https://enftx-html.vercel.app/images/items/13.jpg	E:/darklight/admin/enftx-html.vercel.app/images/items/13.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:35	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:44%20GMT	https://enftx-html.vercel.app/images/avatar/13.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/13.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:35	138866/138866	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2013:13:44%20GMT	https://enftx-html.vercel.app/images/items/14.jpg	E:/darklight/admin/enftx-html.vercel.app/images/items/14.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:35	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:44%20GMT	https://enftx-html.vercel.app/images/avatar/14.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/14.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:36	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:45%20GMT	https://enftx-html.vercel.app/images/avatar/15.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/15.jpg	(from https://enftx-html.vercel.app/saved.html)
20:13:36	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2013:13:45%20GMT	https://enftx-html.vercel.app/images/avatar/16.jpg	E:/darklight/admin/enftx-html.vercel.app/images/avatar/16.jpg	(from https://enftx-html.vercel.app/saved.html)
